debut,fn,group,order
2023/04/04,pm135.cSPRING_2023,Eevee_23s
2018/08/11,pm136,Eevee
2019/02/26,pm136.cNOVEMBER_2018,Eevee_07
2022/12/31,pm136.cHOLIDAY_2022,Eevee_2022h
2023/04/04,pm136.cSPRING_2023,Eevee_23s
2020/09/19,pm137,Porygon
2018/05/24,pm138,Omanyte
2018/05/24,pm139,Omanyte
2018/05/24,pm140,Kabuto
2018/05/24,pm141,Kabuto
2018/05/02,pm142,Aerodactyl
2023/01/25,pm142.fMEGA,Aerodactyl
2021/02/20,pm143,Snorlax
2022/07/16,pm143.cGOFEST_2022_NOEVOLVE,Snorlax
2023/07/15,pm143.cNIGHTCAP,Snorlax
2018/07/07,pm144,Articuno
2018/07/21,pm145,Zapdos
2018/09/08,pm146,Moltres
2018/02/24,pm147,Dratini
2018/02/24,pm148,Dratini
2018/02/24,pm149,Dratini
2019/09/16,pm150,Mewtwo
2021/02/20,pm151,Mew
2018/09/22,pm152,Chikorita
2018/09/22,pm153,Chikorita
2018/09/22,pm154,Chikorita
2018/11/10,pm155,Cyndaquil
2018/11/10,pm156,Cyndaquil
2018/11/10,pm157,Cyndaquil
2019/01/12,pm158,Totodile
2019/01/12,pm159,Totodile
2019/01/12,pm160,Totodile
2019/09/02,pm161,Sentret
2019/09/02,pm162,Sentret
2022/01/01,pm163,Hoothoot
2022/01/01,pm163.cJAN_2022_NOEVOLVE,Hoothoot_2022
2022/01/01,pm164,Hoothoot
2022/12/31,pm164.cJAN_2022_NOEVOLVE,Hoothoot_2022
2020/09/10,pm165,Ledyba
2020/09/10,pm166,Ledyba
2021/10/15,pm167,Spinarak
2021/10/15,pm168,Spinarak
2019/07/25,pm169,Zubat
2020/04/17,pm170,Chinchou
2020/04/17,pm171,Chinchou
2017/08/15,pm172,Pikachu,-1
2017/02/26,pm172.cANNIVERSARY,Pikachu_02,-1
2017/06/06,pm172.cONE_YEAR_ANNIVERSARY,Pikachu_03,-1
2017/10/20,pm172.cHALLOWEEN_2017,Pikachu_04,-1
2018/07/05,pm172.cSUMMER_2018,Pikachu_05,-1
2019/12/24,pm172.cWINTER_2018,Pikachu_08,-1
2016/12/25,pm172.cHOLIDAY_2016,Pikachu_01,-1
2019/02/26,pm172.cNOVEMBER_2018,Pikachu_07,-1
2020/12/29,pm172.cCOSTUME_2,Pikachu_28,-1
2023/04/04,pm172.cSPRING_2023,Pikachu_23s,-1
2019/02/13,pm173,Clefairy
2019/04/16,pm174,Jigglypuff
2018/03/22,pm175,Togepi
2018/03/22,pm175.cAPRIL_2020_NOEVOLVE,Togepi
2018/03/22,pm176,Togepi
2022/04/12,pm176.cAPRIL_2020_NOEVOLVE,Togepi
2018/08/20,pm177,Natu
2018/08/20,pm178,Natu
2018/04/15,pm179,Mareep
2018/04/15,pm180,Mareep
2018/04/15,pm181,Mareep
2018/04/15,pm181.fMEGA,Mareep
2019/10/03,pm182,Oddish
2018/12/18,pm183,Marill
2018/12/18,pm184,Marill
2019/08/05,pm185,Sudowoodo
2019/08/06,pm186,Poliwag
2022/02/12,pm187,Hoppip
2022/02/12,pm188,Hoppip
2022/02/12,pm189,Hoppip
2019/05/07,pm190,Aipom
2018/08/20,pm191,Sunkern
2018/08/20,pm192,Sunkern
2019/09/20,pm193,Yanma
2020/12/11,pm194,Wooper
2020/12/11,pm195,Wooper
2018/08/11,pm196,Eevee
2019/02/26,pm196.cNOVEMBER_2018,Eevee_07
2022/12/31,pm196.cHOLIDAY_2022,Eevee_2022h
2023/04/04,pm196.cSPRING_2023,Eevee_23s
2018/08/11,pm197,Eevee
2019/02/26,pm197.cNOVEMBER_2018,Eevee_07
2022/12/31,pm197.cHOLIDAY_2022,Eevee_2022h
2023/04/04,pm197.cSPRING_2023,Eevee_23s
2018/03/31,pm198,Murkrow
